time,open,high,low,close,tick_volume,spread,real_volume,returns,atr,rsi,ema_fast,ema_slow,vwap,signal,stop_loss,take_profit_1,take_profit_2,position,strategy_returns,cumulative,total_commission
2025-08-27 06:30:00,3382.16,3383.04,3381.19,3382.48,763,17,0,0.00011235622837890702,2.5357142857142208,17.01134089393024,3385.2221004090406,3380.751675329477,3381.374674098942,hold,,,,0.0,0.0,0.9967671630463207,
2025-08-27 06:45:00,3382.49,3383.22,3380.57,3380.64,697,8,0,-0.0005439795652893986,2.5357142857142208,16.04782882316003,3385.0424101969215,3380.750564132169,3381.3757875584097,hold,,,,0.0,0.0,0.9967671630463207,
2025-08-27 07:00:00,3380.63,3381.33,3379.02,3379.6,866,16,0,-0.0003076340574565961,2.440714285714226,17.079705291360554,3384.828982346062,3380.7391157328443,3381.3571529312376,hold,,,,0.0,0.0,0.9967671630463207,
2025-08-27 07:15:00,3379.59,3379.65,3377.23,3377.3,798,10,0,-0.000680553911705406,2.4635714285713806,13.849765258216735,3384.5337281364123,3380.7048956758013,3381.3169885562797,hold,,,,0.0,0.0,0.9967671630463207,
2025-08-27 07:30:00,3377.28,3377.9,3374.84,3374.99,846,5,0,-0.00068397832588174,2.4121428571427908,14.676616915423324,3384.159464287926,3380.648031042211,3381.248051591189,hold,,,,0.0,0.0,0.9967671630463207,
2025-08-27 07:45:00,3374.94,3375.92,3373.89,3374.99,896,5,0,0.0,2.376428571428505,16.332179930796414,3383.7998774531056,3380.591732225871,3381.1639191982276,buy,3372.613571428571,3376.8911428571428,3378.7922857142853,1.0,0.003243322085168865,1.0,
2025-08-27 08:00:00,3375.03,3376.17,3374.14,3374.71,996,6,0,-8.296320877976271e-05,2.3199999999999688,7.9613095238076,3383.443411670631,3380.5332075271062,3381.0740599586798,hold,,,,1.0,-0.0002799999999997249,0.9997200000000003,
2025-08-27 08:15:00,3374.73,3377.37,3374.18,3375.7,832,5,0,0.00029335854043743836,2.357142857142825,13.009845288325849,3383.1397484678614,3380.485115909921,3381.0099360152867,hold,,,,1.0,0.0009902772776375635,1.00071,
2025-08-27 08:30:00,3375.68,3378.74,3375.68,3377.71,981,13,0,0.0005954320585361828,2.4249999999999545,24.399494310999287,3382.9268171553963,3380.45750281629,3380.9590619469027,hold,,,,0.33333333333333326,0.0026208478752012265,1.0033327086771926,
2025-08-27 08:45:00,3377.75,3378.91,3375.89,3377.2,848,5,0,-0.00015098987183626011,2.482142857142825,23.915737298637225,3382.702236090479,3380.425089852944,3380.915701284293,hold,,,,0.0,0.00040874503075283286,1.0037428159360562,
2025-08-27 09:00:00,3377.18,3379.66,3377.16,3379.38,941,5,0,0.00064550515219719,2.3528571428571143,36.851738865162474,3382.571952322225,3380.414690948935,3380.8871190042078,buy,3377.027142857143,3381.262285714286,3383.1445714285715,1.0,-0.003728859501291315,1.0,
2025-08-27 09:15:00,3379.33,3381.92,3379.33,3381.01,951,5,0,0.0004823369967272839,2.405000000000005,40.992018244014545,3382.510699289981,3380.4206144220802,3380.885371336996,hold,,,,0.33333333333333326,0.0015271550585032045,1.0015271550585032,
2025-08-27 09:30:00,3380.98,3381.55,3378.25,3379.82,813,10,0,-0.0003519658326950337,2.5785714285714545,38.676707907477685,3382.405181670766,3380.414638159174,3380.8741941414332,hold,,,,0.0,0.001088224028060747,1.0026170409733932,
2025-08-27 09:45:00,3379.77,3380.09,3376.31,3377.49,832,12,0,-0.000689385825280775,2.699285714285744,37.862032648762906,3382.2124294483833,3380.3855372819685,3380.8416622562518,hold,,,,0.0,0.0,1.0026170409733932,
