time,open,high,low,close,tick_volume,spread,real_volume,returns,rsi,atr,volatility_ratio,signal,momentum,position_size,stop_loss,take_profit,position,strategy_returns,cumulative,total_commission
2025-10-01 15:15:00,3884.13,3891.19,3875.4,3877.72,1379,8,0,-0.0017068492798023582,24.34519811954472,6.0575000000000045,1.0983282564548882,sell,STRONG_BEARISH,1.0,3886.8062499999996,3859.5474999999997,0.0,-0.015517995464996881,0.9759662351957752,
2025-10-01 15:30:00,3878.02,3880.69,3871.77,3875.44,1317,5,0,-0.0005879743766955547,20.429762668378643,6.2065000000000055,1.100950792918721,sell,STRONG_BEARISH,1.0,3884.74975,3856.8205,-1.0,0.0246256109458578,1.0,
2025-10-01 15:45:00,3875.04,3877.24,3864.65,3870.41,1281,5,0,-0.0012979171397312639,22.374429223745835,6.289999999999987,1.082765268883837,sell,STRONG_BEARISH,1.0,3879.845,3851.54,-0.6666666666666666,0.0049320036584232785,1.0049320036584233,
2025-10-01 16:00:00,3870.2,3874.29,3865.31,3865.64,1270,10,0,-0.0012324275722727096,12.045826513913454,6.240499999999997,1.0642416180633711,hold,STRONG_BEARISH,1.0,,,0.0,0.004644317038754231,1.0095992264858036,
2025-10-01 16:15:00,3865.47,3870.21,3863.8,3869.9,1223,5,0,0.0011020167423765326,22.363478763364228,6.189999999999986,1.045290283359788,sell,STRONG_BEARISH,1.0,3879.185,3851.33,-1.0,-0.009507957448834925,1.0,
2025-10-01 16:30:00,3869.98,3877.19,3868.98,3872.47,1328,5,0,0.000664099847541122,27.82726045883966,6.310499999999979,1.0511893656716405,sell,STRONG_BEARISH,1.0,3881.9357499999996,3853.5384999999997,-1.0,-0.002569999999999739,0.9974300000000003,
2025-10-01 16:45:00,3872.56,3874.6,3867.69,3872.8,1235,8,0,8.521692873042497e-05,30.44349070100263,6.493999999999983,1.0702396255644542,sell,BEARISH,1.0,3882.541,3853.318,-1.0,-0.0003308502852333861,0.9970999999999999,
2025-10-01 17:00:00,3872.71,3875.99,3867.72,3870.27,1289,11,0,-0.0006532741169180678,26.586433260394855,6.740499999999974,1.0897788268770596,sell,STRONG_BEARISH,1.0,3880.38075,3850.0485,-1.0,0.0025373583391838928,0.9996300000000001,
2025-10-01 17:15:00,3869.71,3875.79,3869.14,3875.26,1241,14,0,0.001289315732494245,35.216027033551,6.5939999999999825,1.0547699788854044,hold,NEUTRAL,1.0,,,-1.0,-0.004991846983384063,0.9946399999999999,
2025-10-01 17:30:00,3875.42,3878.68,3874.61,3877.09,1229,11,0,0.0004722263796492765,42.1891058581709,6.425999999999976,1.041828793774318,hold,NEUTRAL,1.0,,,-1.0,-0.0018398616584894834,0.99281,
2025-10-01 17:45:00,3876.95,3878.17,3856.21,3872.98,1406,7,0,-0.0010600734055696837,39.254123834568965,7.212499999999977,1.111359363924927,hold,NEUTRAL,1.0,,,-1.0,0.004139764909700805,0.99692,
2025-10-01 18:00:00,3872.81,3876.84,3866.56,3869.41,1343,5,0,-0.0009217708327954321,36.21526246140305,7.5294999999999845,1.1345759749261635,sell,BEARISH,1.0,3880.70425,3846.8215,-1.0,0.0035810295710791973,1.0004900000000003,
2025-10-01 18:15:00,3869.14,3869.77,3859.57,3859.71,1316,6,0,-0.0025068421283864772,27.62368815592218,7.878499999999986,1.1829579579579574,sell,STRONG_BEARISH,1.0,3871.52775,3836.0745,-1.0,0.00969524932782928,1.0101900000000001,
2025-10-01 18:30:00,3859.42,3866.21,3858.03,3864.63,1243,6,0,0.0012747071671188603,32.858136300417684,8.15799999999997,1.2212940507200793,sell,BEARISH,1.0,3876.867,3840.1560000000004,-1.0,-0.0048703709203219425,1.0052699999999999,
2025-10-01 18:45:00,3864.93,3869.62,3863.37,3868.55,1168,5,0,0.0010143273741600733,41.634738186462805,8.301999999999953,1.229379535021468,sell,BEARISH,1.0,3881.003,3843.6440000000002,-1.0,-0.003899449899032126,1.00135,
2025-10-01 19:00:00,3868.36,3869.37,3860.84,3867.21,1170,10,0,-0.00034638301172273955,42.361240022276014,8.369499999999949,1.2400361513615992,sell,BEARISH,1.0,3879.76425,3842.1015,-1.0,0.00133819343885766,1.00269,
2025-10-01 19:15:00,3867.17,3870.71,3866.72,3870.4,1093,13,0,0.0008248840895632714,49.99039015952358,8.395999999999958,1.2443311497762077,hold,NEUTRAL,1.0,,,-1.0,-0.003181441921231931,0.9995,
2025-10-01 19:30:00,3870.41,3871.5,3869.48,3870.66,1030,12,0,6.717651922283352e-05,55.28198653198641,8.272999999999957,1.2413720665026087,buy,BULLISH,1.0,3858.2505,3895.479,-1.0,-0.0002601300650322269,0.9992400000000002,
2025-10-01 19:45:00,3870.64,3871.62,3869.51,3870.88,984,12,0,5.683785194254831e-05,51.12695492180312,8.217999999999938,1.2347867896745457,buy,BULLISH,1.0,3858.5530000000003,3895.534,-1.0,-0.00022016732716889642,0.99902,
2025-10-01 20:00:00,3870.91,3871.4,3868.6,3869.88,900,10,0,-0.000258339189021628,46.91004533524264,8.155999999999949,1.2297578480745424,hold,NEUTRAL,1.0,,,-1.0,0.0010009809613420462,1.00002,
2025-10-01 20:15:00,3869.92,3871.87,3868.92,3870.79,954,10,0,0.0002351494103176588,47.63473758531397,7.513999999999942,1.1442058778742157,hold,NEUTRAL,1.0,,,-1.0,-0.0009099818003638349,0.9991100000000002,
2025-10-01 20:30:00,3871.06,3871.38,3863.94,3864.19,1016,6,0,-0.0017050782915115636,43.47079037800701,7.439999999999941,1.1299091820307947,sell,BEARISH,1.0,3875.35,3841.8700000000003,-1.0,0.006605879232516765,1.00571,
2025-10-01 20:45:00,3864.2,3865.01,3860.73,3860.82,1119,5,0,-0.0008721103258380047,33.934134401424075,7.024499999999966,1.0666130158826546,sell,BEARISH,1.0,3871.35675,3839.7465,-1.0,0.0033508665519881298,1.00908,
2025-10-01 21:00:00,3860.48,3860.92,3854.85,3859.79,1187,5,0,-0.00026678270419244754,30.40326234707743,6.878999999999974,1.0375565610859716,sell,BEARISH,1.0,3870.1085,3839.1530000000002,-0.6666666666666666,0.009916810601220627,1.0190868552414798,
2025-10-01 21:15:00,3859.9,3864.92,3859.52,3862.98,1070,5,0,0.0008264698338511511,38.431281813975076,6.828499999999986,1.0198793201302394,sell,BEARISH,1.0,3873.22275,3842.4945000000002,0.0,-0.0032301103483256544,1.0157950922445216,
2025-10-01 21:30:00,3862.98,3866.28,3858.08,3859.46,1068,8,0,-0.0009112136226436807,38.47579337502918,6.827999999999998,1.0125456001423623,sell,BEARISH,1.0,3869.702,3838.976,-1.0,-0.015549486668241741,1.0,
